recipe_id,title,instructions,calories,protein_g,carbs_g,fat_g,estimated_cost_lkr
109,Easy Pork Curry with Coconut Milk Recipe (Spicy & Tasty),"Take the pork and cut it into small pieces. Add turmeric powder, salt, and water. Rinse it well. Repeat the same for one more time. (Refer Note 1) Drain all the water and add turmeric powder and salt. Mix it well and leave it to marinate for 15 to 30 minutes. Get ready with sliced onions, curry leaves, lime, curry powder, mustard seeds, fennel seeds, and coconut milk. (Refer Note 2 and Note 3) Heat the oil and add mustard seeds. Let it splutter. Add the onions and sauté it until it gets soft and translucent. Add fennel seeds and curry leaves. Stir and cook until the onion turns into golden color. Now, add the marinated pork. Add the water and mix everything well. Cook covered under the high flame for 13 to 15 minutes. Take off the lid, stir and mix everything. Cook covered again under high flame until all the water disappears. For me, it takes about 5 minutes. Now, take off the lid, cook uncovered and stir occasionally until the pork gets frying. Add curry powder and coconut milk. (Refer Note 3) Mix everything well and cook covered under low flame for 5 to 7 minutes. (Refer Note 4) Finally, switch off the flame, add lime juice and mix everything. Taste the gravy and add salt if needed. Serve and enjoy this delicious and easy pork curry with coconut milk recipe in Sri Lankan style.",1430.0,31.3,83.2,118.5,672.0
110,Whole Fish Fry with Bread Crumbs Recipe | Deep Fry Meen Poriyal,"Take the fishes, clean, and rinse thoroughly. Place them in the pan. Add turmeric powder, curry powder, and salt. Add the tamarind juice and water. Mix everything well and switch on the flame. (Refer Note 1) Cook uncovered under high flame until the fish gets boiled and all the water disappears. For me, it takes about 10 minutes. During this time period, in the halfway through, turn the fishes to the next side. Let the fishes cool down. Now take the all purpose flour and add salt to it. (Refer Note 2) Add water time to time and mix well using your fingers. Make a smooth and thick liquid batter. Carefully take off the fishes from the pan and soak it into the batter you prepared. Now coat the fish with the breadcrumbs. Do the same process to all the boiled fishes. Heat the oil in a deep fry pan and fry the fishes under medium flame until it turns to golden color. Serve and enjoy this Sri Lankan style whole fish fry with bread crumbs recipe.",1272.0,35.3,73.8,95.6,480.8
111,How To Make Spicy Crab Curry Recipe (Easy & Tasty Nandu Kuzhambu),"Take the crabs, clean, and rinse it well. (Refer Note 1) Chop the onion, slice the garlic, and mince the ginger. Also take some curry leaves as well. Get ready with curry powder, turmeric powder, fenugreek seeds, and salt. (Refer Note 2) Extract thin coconut milk from grated coconut and get ready with thin tamarind juice. (Refer Note 3) Heat the oil in a cooking pan and add onions. Sauté it until it gets soft and translucent. Add garlic and curry leaves. Stir and fry for about one minute. Add fenugreek seeds. Stir and cook until the onion gets a golden color. Now add the cleaned crabs. Add tamarind juice. Add salt, turmeric powder, and curry powder. Now add the coconut milk. Mix everything well. Cook covered under the high flame for 7 to 9 minutes. Open the lid and mix well. Again cook covered under low flame for 5 to 7 minutes. Taste the gravy and adjust salt if needed. Finally, switch off the flame and add the minced ginger. Mix one last time. This is how to make spicy crab curry. Serve and enjoy this delicious spicy crab curry in Sri Lankan style.",1493.0,33.8,130.0,103.0,416.4
112,How To Make Jaffna Odiyal Kool At Home (Spicy Seafood Soup),"Take the brown rice and wash it thoroughly. Boil the brown rice and keep it aside for final preparation. Clean, rinse, and cut the fish, cuttlefish/squid, prawns/shrimps, and crabs. (Refer Note 1) Rinse and cut the jackfruit seeds, long beans, and tapioca. Get ready with thin tamarind juice and water. (Refer Note 2) Get ready with Odiyal flour, dried red chilies, salt, and turmeric powder. Wash the odiyal flour 2 or 3 times thoroughly before mix it to the Jaffna odiyal kool. Grind the dried red chilies to flakes. (Refer Note 3) Once you have done with all the preparations, place a large cooking pot over the stove. Add the pieces of fish, squid/cuttlefish, prawns/shrimps, and crabs. Now add turmeric powder and salt. Add all the water and mix everything well. Now switch on the flame. Cook covered under the high flame for 15 minutes. Take off the lid and mix everything well. Add the slices of tapioca and jackfruit seeds. Mix and cook covered again under the high flame for 15 minutes. Take off the lid and mash everything a little using a spoon especially the fish pieces. Cook uncovered under the high flame for 5 minutes. Now add long beans pieces and cook uncovered under the high flame for 2 minutes. Add the red chili flakes. (Refer Note 4) Add the thin tamarind juice. Add washed odiyal flour. Once you add odiyal flour, you should mix everything as soon as possible. If not the odiyal flour won’t mix up easily. Finally, add the boiled brown rice. Mix everything well and cook uncovered under medium flame for 5 minutes. Taste it and adjust salt, red chili flakes, tamarind juice if needed. Serve and enjoy this delicious spicy Jaffna odiyal kool or seafood soup in Sri Lankan style.",773.5,32.7,74.5,42.5,725.8
113,Fish Curry Without Tamarind And Chili Powder (Sprat Fish Sothi With Tomatoes),"Take the sprat fish and clean it carefully. Rinse it well at least 2 or 3 times and keep aside. Get ready with chopped onions, sliced green chilies, curry leaves, sliced tomatoes, turmeric powder, half of the lime, and salt. (Refer Note 1) Extract thin coconut milk from grated coconut and get ready with normal water. (Refer Note 2) Place the pan on top of the stove. Add well-cleaned sprat fishes, onions, curry leaves, green chilies, turmeric powder, and salt. Now add the water, mix everything and switch on the flame. Cook covered under the high flame for 3 to 5 minutes. Add the tomatoes and cook covered again under the high flame for 1 or 2 minutes. Now add the coconut milk and cook uncovered under medium flame for 2 to 4 minutes. During these 2 to 4 minutes, you will see the milk foams up occasionally. On those times you should stir constantly. Turn off the flame and add lime juice. Mix everything well and taste the curry. Adjust salt and lime if you need. Serve and enjoy this delicious Sri Lankan style fish curry without tamarind juice and chili powder.",975.5,27.9,137.8,46.5,557.7
114,Fish Curry Recipe Without Tomato And Oil (Healthy & Easy Cooking),"Take the pieces of fish and rinse it well at least 2 or 3 times. Here I used the pieces of Grey Mullet fish. Chop the onions, slice the green chilies, and slice the garlic cloves. Also, take fey curry leaves, turmeric powder, fenugreek seeds, salt, and curry powder. Keep everything aside. (Refer Note 1) Get ready with coconut milk and tamarind juice. (Refer Note 2) Place the cooking pan on the stove. Add turmeric powder, curry powder, salt, and fenugreek seeds. Also, add chopped onions, green chilies, garlic cloves, and curry leaves. Now add tamarind juice. Add the coconut milk. Mix everything and switch on the flame. Cook covered under the high flame for 6 to 8 minutes. Take off the lid, stir, and mix well. Stir gently, otherwise, the flesh part of the fish can easily rip off. Again cook covered under low flame for 5 to 7 minutes. (Refer Note 3) Take off the lid and taste the curry. Adjust salt and tamarind juice if needed. Serve and enjoy this Sri Lankan style easy fish curry recipe without tomato and cooking oil.",913.7,22.0,116.0,49.4,656.3
115,Easy Fish Egg Fry Recipe Sri Lankan | Grey Mullet Fish Egg Fry,"Take the fish egg and rinse it well. (Refer Note 1) Get ready with curry powder, turmeric powder, and salt. Place the cooking pan on the stove and place the fish egg carefully. Also, add salt, turmeric powder, curry powder, and water. Cook covered under the high flame for 6 to 8 minutes. Open the lid and flip the fish egg to the next side. Again cook covered under high flame until all the water disappears. (Refer Note 2) Now let them cool down. Now place the frying pan on the stove and carefully place the cooked fish eggs. Add some oil and let it fry under the low flame. Turn the fish eggs to every other side and let them fry. (Refer Note 3) Once done, carefully take them off to a nice and clean plate. Let them cool down. Now cut them into your desired size pieces. Decorate the plate with sliced onions, green chilies, and lime. If you want you can sprig some crushed black pepper and tomato sauce. Serve and enjoy this easy fish egg fry recipe in Sri Lankan style.",1256.5,23.1,85.0,101.0,555.0
116,Good Whole Roast Chicken Recipe Sri Lankan Style With Lime Garlic,"Take the whole chicken and rinse it well at least 2 or 3 times. Get ready with garlic paste, ginger paste, turmeric powder, Maggi chicken soup cube, salt, lime, chili powder, and butter. (Refer Note 1 and Note 2) Put the chicken in a large bowl. Add chili powder, garlic paste, ginger paste, turmeric powder, and salt. Paste everything inside and outside of the chicken using your fingers. Let it marinate for 2 to 3 hours. Heat the oil in a large frying pot and wait until the oil gets maximum heat. Now, carefully place the marinated whole chicken inside the oil. (Refer Note 3) Fry the chicken well. If you are using little oil, you should turn around and fry every little part of the chicken. At first, you can put the flame in high. But later turn the flame to medium. I used little cooking oil and for me, the frying process took about 15 minutes. Now grease the fried chicken with the lime. Just squeeze the lime and rub every outer part of the chicken. (Refer Note 4 and Note 5) After the lime, grease the chicken with Maggi chicken soup cube. Rub it with your fingers outside and inside of the chicken. Finally, do the same with butter. Paste the butter outside and inside of the chicken. Preheat the oven and place the chicken inside. Set the oven to 170 degree Celsius and 30 minutes on bake mode. Take off the chicken and place it on a plate. You can decorate the chicken with sliced onions and limes. Serve and enjoy this delicious whole roast chicken in Sri Lankan style.",1474.8,13.8,55.4,138.0,389.3
117,Whole Baby Squid Recipe | Spicy Baby Calamari Curry With Coconut,"Take the baby squids and rinse it well. Every baby squids have ink containers inside their body part. So, wash it carefully until removing all the black ink containers. (Refer Note 1) Chop the onions. Crush the garlic and ginger to paste. Get ready with curry leaves, salt, fenugreek seeds, turmeric powder, and curry powder. (Refer Note 2) Extract thin coconut milk from grated coconut and get ready with thin tamarind juice. (Refer Note 3) Heat the oil in the cooking pan. Add onions and sauté it until it gets soft and translucent. Add curry leaves and fenugreek seeds. Stir and cook until the onions turn into light golden color. Add ginger and garlic paste. Stir and cook for 30 seconds. Add the baby squids and mix everything well. (Refer Note 4) Cook covered under medium flame for 3 to 5 minutes. Take off the lid, stir and cook uncovered under medium flame until all the liquid disappears. For me, it takes about 2 minutes. Add turmeric powder, salt, and curry powder. Now add tamarind juice. Add coconut milk and mix everything well. Cook covered under the high flame for 3 to 5 minutes. Take off the lid, stir and mix everything. Again cook covered under low flame for 2 to 4 minutes. Taste the curry and adjust salt if needed. Serve and enjoy this Sri Lankan style spicy whole baby squid recipe with coconut milk.",1615.8,31.6,160.7,108.9,415.0
118,Thick & Spicy Potato Curry for Chapathi (with Maldives Dry Fish),"Boil the potatoes, peel off the skin, and cut them into medium-sized pieces. Slice the tomato and green chilies. Also, chop the onions and take some curry leaves. Get ready with fennel seeds, mustard seeds, turmeric powder, and salt. Likewise, get ready with crushed Maldives dry fish, curry powder, and lime. Prepare the thick coconut milk. Heat the oil in a skillet and add mustard seeds. Let them splutter. Then, add the onion and sauté them till translucent for about 2 minutes. After that, add curry leaves, green chilies, and fennel seeds. Saute them till onions turn to golden. Now add the coconut milk, turmeric powder, curry powder, and salt. Mix well. Cook covered under the high flame for 2 minutes. Now, add tomatoes and cook covered under medium flame for 3 or 4 minutes. Add boiled potatoes and crushed Maldives dry fish. Mix everything well and cook covered under low flame for one or two minutes. Finally, add lime juice. Taste the curry and adjust salt if needed. Give one last good mix. This is how to make a spicy potato curry with Maldives dry fish. Serve and enjoy this delicious thick gravy potato tomato curry with chapathi.",1700.5,70.2,84.3,129.6,856.4
119,Deviled Beef Recipe Sri Lanka | Easy & Tasty Beef Fry,"Grind ginger and garlic to a smooth paste. Also, get ready with vinegar, red chili powder, turmeric powder, sugar, salt, and water. Cut the onions into medium-sized pieces and slice the banana peppers. Get ready with tomato sauce, red chili flakes, and lime. Rince the beef and cut it into large chunks. Add ginger-garlic paste, vinegar, turmeric powder, red chili powder, sugar, salt, and water. Mix them well. Cook covered under the high flame until all the water evaporates. In a halfway through open the lid and give a stir to avoid burning. Once done, let them cool down to room temperature. Now cut each beef chunks into thin slices. Heat the oil in a deep fry pan and fry the beef slices until they turn to brown color. Don't fry them for too long or you will lose the softness of the beef. Now heat the cooking oil in a wok and add fried beef, onions, and banana peppers together. Fry them under medium flame for two minutes. Then, add the red chili flakes. Stir and fry them for another two minutes under low flame. Finally, add the tomato sauce and mix under low flame for about a minute. Then switch off the flame and add lime juice. Taste and adjust salt if needed. Give one last good mix. This is how to make the best deviled beef recipe at home. Serve and enjoy this delicious Sri Lankan style deviled beef.",1361.1,22.4,102.8,100.8,611.6
120,Spicy Dried Sprats Curry Recipe | Nethili Karuvadu Kuzhambu,"Take the dried parts, add some hot water, and leave them to soak for 10 minutes. Then rinse them in ordinary water for 2 times. Chop the onion and slice the garlic. Also, take some curry leaves. Get ready with mustard seeds, fennel seeds, fenugreek seeds, and turmeric powder. Slice the tomatoes. Prepare thin coconut milk and thin tamarind juice. Heat the oil and add mustard seeds. Let them splutter. Then add the onions and sauté them until the onions just start to turn a golden color. For me, it takes about 2 to 3 minutes. Now, add garlic and curry leaves. Fry them until the onions turn into golden color. For me, it takes about 1 to 2 minutes. Then, add fennel seeds and fenugreek seeds. Fry them for 30 seconds. Add coconut milk, tamarind juice, turmeric powder, curry powder, and salt. Mix them well and cook covered under high flame for 4 to 5 minutes. Now add the dried sprats, mix, and cook covered under high flame for 1 or 2 minutes. Finally, add the sliced tomatoes, mix well, and cook covered under low flame for 4 to 5 minutes. Taste the curry and adjust salt if needed. This is how to make the best and spicy dried sprats curry recipe with tomatoes. Serve and enjoy this Sri Lankan style dried sprats spicy curry.",1668.5,44.5,122.2,124.7,520.0
121,Sri Lankan Spicy Mutton Curry Recipe without Tomato (KETO),"Rinse the mutton well enough and cut it into small pieces. Take the small onions or shallots and cut them into half. Also, finely chop the ginger root. Get ready with fenugreek seeds, turmeric powder, salt, and curry powder. Prepare thin and thick coconut milk. Heat the oil in a cooking wok and add onions. Saute them for 2 or 3 minutes. Then, add fenugreek seeds and saute them until onions turn golden. Now, add thin coconut milk, turmeric powder, curry powder, and salt. Mix well. Cook covered under high flame for 2 minutes. Add the mutton and give a good mix. Cook covered under high flame for 12 to 15 minutes. In a halfway through take off the lid and give a good stir to avoid burning. Now, add thick coconut milk and mix well. Cook covered under very low flame for 8 to 10 minutes. Taste the curry and adjust salt if needed. Finally, switch off the flame and add crushed ginger. Give one last good mix. This is how to make the best Sri Lankan spicy mutton curry recipe without tomatoes. Serve and enjoy this simple thick gravy spicy mutton curry.",1065.2,7.5,49.3,96.7,604.4
122,Tasty Prawn Varai Recipe | Unique Shrimp (Eral) Dish | KETO,"Take the prawns, peel off the skin, and rinse them well. Get ready with dried red chilies, onions, turmeric powder, salt, and water. Likewise, get ready with grated coconut, crushed cumin seeds, and garlic paste. Take the skillet and add the prawns. On top of that add dried red chilies, onions, turmeric powder, salt, and water. Give a mix and switch on the flame. Cook covered under medium flame till all the water evaporates or the prawns boiled well enough. For me, it takes about 4 minutes. Once done, let them cool down to room temperature. Now grind them to a paste. You don’t need to grind them to a smooth paste. Place the skillet over the stove and add the ground paste, grated coconut, crushed cumin seeds, and garlic paste. Mix everything well until totally combined. Now switch on the flame. Cook this mixture uncovered under medium flame for 5 to 7 minutes. Mix and stir frequently to avoid burning. This is how to make a delicious prawn varai recipe. Serve and enjoy this Sri Lankan style Prawn Varai with your friends and family.",715.7,14.4,57.2,54.1,253.6
123,Easy Chicken Stew with Potatoes Recipe | Spicy | Healthy,"Get ready with black pepper, fennel seeds, cumin seeds, turmeric powder, garlic cloves, and a piece of ginger root. Grind them to a smooth paste as shown in the picture. (Add a little water can make the paste even smooth) Cut the chicken into your desired size pieces and rinse them well. Now add the ground smooth paste and some salt to the chicken. Mix well and let them marinate for at least 30 minutes. Get ready with onions, green chilies, curry leaves, potatoes, cardamom, cinnamon, and mustard seeds. Also, prepare the semi-thick coconut milk. Heat the oil and add mustard seeds. Let them splutter. Then add the chopped onions and sauté them until the onions turn into light brown color. Now, add green chilies, curry leaves, cardamom, and cinnamon. Fry them for 1 to 2 minutes. Stir frequently to avoid burning. Add the marinated chicken and potatoes. Mix everything well. Cook covered under medium flame for 3 to 5 minutes. Take off the lid, give a good mix, and again cook covered under high flame for 4 to 6 minutes. After that, take off the lid and cook uncovered until all the liquid evaporates. Now, add the coconut milk and mix well. Cook covered for 2 to 4 minutes under low heat. After that, again give a good mix and cook covered under very low flame for 3 to 4 minutes. Taste the gravy and adjust salt if needed. This is how to make an easy chicken stew with potatoes in Sri Lankan style. Serve and enjoy this healthy and spicy chicken stew.",1186.0,21.6,39.5,111.7,605.6
124,Best Fish Stew Recipe without Tomatoes | KETO Friendly,"Take black pepper, fennel seeds, cumin seeds, turmeric powder, garlic cloves, and a piece of ginger root. Put everything in the grinder and grind them to a smooth paste as shown in the picture below. Take the fish pieces and rinse them well enough. Add the ground paste and salt. Mix everything well and keep aside for at least 30 minutes. Slice the onions and take the green chilies. Also, get ready with the curry leaves, mustard seeds, and lime. Prepare 225ml of thick coconut milk and take 100ml of water. Heat the oil and add mustard seeds. Let the seeds splutter. Then add onions and sauté it until it turns into light brown color. Now add the curry leaves and green chilies. Stir and fry them for one minute. Add the marinated fish pieces, coconut milk, and water. Mix them well and cook covered under high flame for 6 to 8 minutes. Take off the lid and give a gentle stir. Again cook covered under very low flame for 5 to 7 minutes. Taste the curry and adjust salt if needed. Finally, switch off the flame and add the lime juice. Give one last gentle stir. This is how to make the best fish stew recipe without tomatoes. Serve and enjoy this delicious Sri Lankan style KETO friendly fish stew.",1635.0,41.6,108.7,129.8,779.9
125,Sri Lankan Style Squid Curry | Spicy Cuttlefish Recipe,"Clean the squids and cut them into ring style pieces as shown in the picture below. Rinse them well enough. Sliced the onions, chopped the garlic cloves, and crushed the ginger as shown in the picture below. Also, get ready with curry leaves. Take the fenugreek seeds, mustard seeds, fennel seeds, turmeric powder, and salt. Prepare 250ml of thick coconut milk. Also, prepare 50ml of thick tamarind juice. Add turmeric powder and salt to the pieces of squids. Mix and let them marinate for at least 30 minutes. Heat the oil and add mustard seeds. Let the mustard seeds splutter. Add sliced onions and sauté them until they turn to light brown color. Now add garlic, ginger, curry leaves, fenugreek seeds, and fennel seeds. Stir frequently and fry them for one minute under medium flame. Add the pieces of squids and mix them well. Cook covered under high flame for 5 to 7 minutes. Take off the lid and stir frequently until the squids get a little fry. Now, add thick coconut milk and tamarind juice. Soon after, add curry powder and mix everything well. Now cook covered under very low flame for 10 to 12 minutes. Taste the curry and adjust salt if needed. This is how to make the best Sri Lankan style squid curry recipe. Serve and enjoy this spicy cuttlefish curry.",1664.7,44.6,124.4,123.7,758.2
126,Make Beef Stew without Potatoes & Tomatoes | KETO,"Take the grinder and add black pepper, fennel seeds, cumin seeds, garlic cloves, and ginger root. Grind them to a smooth paste. Cut the beef into medium-sized pieces. Try to add some beef fats, it will give an extra taste. Rinse the beef and add turmeric powder, salt, and the ground paste. Mix well and let them marinate at least 30 minutes. Slice the onions and cut the head of the green chilies. Take cardamom, cinnamon, and curry leaves. Prepare thick coconut milk. Now, place the cooking wok on the stove and heat the oil. Add the onion and sauté it until the onions turn into translucent. Then add cardamom and cinnamon. Fry them for a minute. Add curry leaves and fry them until the onions turn into golden color. Now add the beef and green chilies. Mix everything well and cook covered under high flame for about 6 minutes. Open the lid, give a good mix and again cook covered under the high flame until all the liquid disappears. For me, it takes about 8 minutes. Now cook uncovered under medium flame for about 2 or 3 minutes. This time the beef is frying a little. Stir frequently to avoid burning. Finally, add the thick coconut milk, give a good mix, and cook covered for 5 to 7 minutes under very low heat. Taste the gravy and adjust salt if needed. This is how to make beef stew without potatoes and tomatoes. Serve and enjoy this Sri Lankan style delicious thick gravy beef stew.",1185.0,19.1,61.9,104.1,629.5
127,Sri Lankan Style Fish Patties Recipe with Potatoes(Deep Fry),"Take a bowl and add all-purpose flour, butter, salt, and cold water. Add the cold water little by little and knead the dough. Knead the dough for at least 10 minutes. The dough should be smooth and elastic but not sticky. Keep the dough aside for at least 1 hour before making the patties. Chop the onions and potatoes. Also, chop the curry leaves, green chilies, and garlic. Get ready with lime, chili powder, mustard seeds, turmeric powder, and salt. Open the can and take out all the fish chunks. Heat the oil and add mustard seeds, let it splutter. Then add the onion and fry them until soft and translucent. Now add curry leaves, green chilies, and garlic. Stir and fry them for 2 minutes under medium flame. Add potatoes and fry them for another 2 minutes under low flame. Stir occasionally to avoid burning. Now add the fish chunks, turmeric powder, chili powder, salt, and water. Mash the fish chunks a little and mix everything well. Cook covered under medium flame for 3 minutes. Now take off the lid and mash everything again. Cook uncovered under the low flame until all the water disappears. For me, it takes about 2 minutes. Finally, switch off the flame and add the lime juice. Give one last good mix. Get ready with all the things you need to make the patties. Take the floured surface with roller and patties cutter. Dust everything with the all-purpose flour. Now take a small ball from the dough and roll out that in the floured surface to a thin layer. Now put that thin layer on top of the patties cutter. Fill the curry using a spoon. At last, close and tighten the patties cutter. Take out the excess part of that thin layer and then open it. Do the same to as many patties as you want until the curry finish. Heat the oil in a deep fry wok and place the patties carefully. Fry them under medium flame until they turn to light brown. This is how to make the best and tasty Sri Lankan style fish patties recipe. Serve and enjoy this delicious snack with your family or friends.",2409.1,36.8,121.7,207.1,802.8
128,Make Aracha Meen Kulambu Recipe (Healthy Fish Curry),"Clean the fish, cut it into pieces as shown in the picture below, and rinse them well. Get ready with thick tamarind juice, thick coconut milk, and thin coconut milk. Also, get ready with shallots, garlic cloves, dried red chilies, black pepper, coriander seeds, cumin seeds, and fennel seeds. Grind shallots, garlic cloves, dried red chilies, black pepper, coriander seeds, cumin seeds, and fennel seeds together to a smooth paste as shown in the picture below. Now take the fish and add the tamarind juice, thin coconut milk, salt, fenugreek seeds, curry leaves, and the ground smooth mixture. Mix till everything combined well and switch on the flame. Cook covered under the high flame for 5 to 7 minutes. Open the lid and add the thick coconut milk. Give a good stir and again cook covered under low flame for 5 to 7 minutes. Take off the lid, taste the curry and adjust salt if needed. Serve and enjoy this delicious Sri Lankan aracha meen kulambu.",1427.5,52.0,124.7,93.2,552.6
129,Simple Red Rice Flour Puttu Recipe (Step by Step Pictures),"Take the roasted red rice flour. Add salt in the hot water and mix well. Add the salt-mixed-hot-water little by little while mixing the flour. Mix well to small thick pieces. Now put those on a flat surface and using a sharp edge cup or tin make them to a crumble texture. Get ready with the grated coconut. Place the puttu steamer on the stove and boil the water until the steam comes out from the top of the steamer. Now take off the top of the steamer and fill that with the dry crumble mixture and grated coconut. I fill that in the following way. Grated coconut -> dry crumble dough -> grated coconut -> dry crumble dough -> grated coconut -> dry crumble dough -> grated coconut. Steam it till the steam comes out through the top of the steamer. For me, it takes about 4 minutes. Once done, unmold the puttu. This is how to make the simple red rice flour puttu recipe at home. Serve and enjoy this Sri Lankan style red rice flour puttu with curries.",572.1,13.1,74.1,50.3,29.3
130,How to Make White Puttu | All-Purpose Flour Puttu Sri Lankan,"Take the steamed all-purpose flour. Also, add salt in the hot water, give a stir, and keep aside. Add the salt-mixed-hot-water little by little while mixing the flour. Mix well to small thick pieces. Now put those on a flat surface and use a sharp edge cup or tin to make them crumble. Besides, get ready with the grated coconut. Place the puttu steamer on the stove and boil the water until the steam comes out from the top of the steamer. Now take off the top of the steamer and fill that with the dry crumble mixture and grated coconut. I fill that in the following way. Grated coconut -> dry crumble dough -> grated coconut -> dry crumble dough -> grated coconut -> dry crumble dough -> grated coconut. Cook till steam comes out through the top of the steamer. For me, it takes about 2 minutes for each batch. Once done, unmold the puttu. This is how to make the white puttu recipe at home. Serve and enjoy this Sri Lankan style all-purpose flour puttu with curries.",572.5,14.9,75.0,49.1,29.3
131,Make String Hoppers Homemade Recipe (Red Rice Flour + Plain Flour),"Take a bowl and add the roasted red rice flour and roasted plain flour Boil the water and add salt to it. Add the salted hot water to the flour mix little by little. Mix them up well before the heat goes down. Knead the dough using a spoon until all combined well enough. Now, fill a small portion of dough inside the string hopper press unit. Then, press both handles to squeeze onto the string hopper mats. Now, boil the water in a string hopper steamer and place the string hopper mats inside the steamer. Cook them covered well enough. For me, it takes about 3 minutes to cook. Once done, remove the string hoppers from the string hopper mats. This is how to make string hoppers at home with the combination of red rice flour and plain flour. Serve and enjoy these string hoppers with some good curries.",770.1,24.4,54.5,53.5,29.2
132,Whole Wheat Flour String Hoppers Recipe (Atta Flour Idiyappam),"Take a large bowl and add the roasted whole wheat flour. Mix the hot water, ordinary water, and salt together. (Refer Note 1) Pour the water into the whole wheat flour little by little. Don’t let the water’s hotness gets down. While you pour the semi-hot water little by little, mix them using a spoon. Now, kneading the dough with your fingers to smooth and doesn’t stick. Wash your hands, string hopper press, and string hopper trays. Now, fill the dough in the string hopper press and press both handles to squeeze onto the string hopper trays. (Refer Note 2) Heat the water in a string hopper steamer. Once the water boiled, place the string hopper trays in the steamer. Cook covered under high flame until the string hoppers cooked well. It may take about 2 to 4 minutes. (Refer Note 3) Now, take off the trays and let them cool down. Finally, remove the string hoppers from the trays. Repeat the same process until you done with the dough. Serve and enjoy these Sri Lankan style easy and healthy whole wheat flour string hoppers.",543.5,8.0,35.6,41.9,20.0
133,How to Make Soft Chapati Roti without Oil or Butter (Quick & Easy),"Take the bowl and add whole wheat flour. Add the salt mixed water (Refer Note 1 and Note 2) Knead the dough using your palm and fingers. Knead the dough until everything gets in together. The dough should be soft and elastic but not sticky. (Refer Note 3) Now make the small balls. Keep it aside for at least 30 minutes before making the chapati. On a floured surface, use the floured rolling pin to roll out the balls until very thin. Heat the skillet and put the thin dough layer on it. Cook until the small bubbles start to foam. Once you see the small bubbles, flip and cook on the other side. (Refer Note 4) Repeat the same to every dough balls you intend to make. This is how to make soft chapati roti without a single drop of oil or butter. Serve and enjoy this Sri Lankan style soft chapati.",358.5,0.4,0.0,40.6,20.0
134,How To Make Sri Lankan Dosa Recipe | Jaffna Style Dosa Quick & Easy,"Get ready with urad dal, basmati rice, and fenugreek seeds. Take a bowl and add urad dal, basmati rice, and fenugreek seeds. Now add water and leave it to soak for 10 hours. (Refer Note 1) Now wash the mixture at least 2 or 3 times. Grind the mixture to a smooth batter. You need to add water when you grind. I used 350ml of water. Now add salt and toasted plain flour. (Refer Note 2) Mix everything well enough until the toasted plain flour completely dissolve with the batter. Now keep the batter aside until it gets fermented. It usually takes 10 to 12 hours. (Refer Note 3) Finally, add turmeric powder and baking powder. Mix them well and leave it to at least 15 minutes before you are going to make dosa. Now you can make Sri Lankan dosa as you wish. Using a ladle, take the ladle full batter and pour it on a preheated dosa pan. Now gently round and spread the batter evenly using the same ladle. This is how to make Sri Lankan dosa recipe. It is the quick and easy way to make Jaffna style dosa.",724.5,17.1,93.0,45.7,312.4
135,Easy Vanilla Butter Cake Recipe without Milk Homemade,"Get ready with butter, granulated sugar, all-purpose flour, eggs, vanilla extract, and baking powder. Now, take a large bowl and add butter and granulated sugar. Beat them for 10 minutes. Then add the eggs one by one. Beat the batter at least 1 to 2 minutes in between every egg. After you are done with all the eggs add vanilla extract and beat the batter for 3 minutes. Mix baking powder and all purpose flour together. Add the baking powder mixed flour little by little. While you are adding the flour, mix them well using your hand. Grease the butter to the cake pans and dust with a little flour. Now, pour the cake batter into the pan. Preheat the oven and place the cake pan inside the oven carefully. Set the temperature to 175 degree Celsius and the time to 60 minutes. You may need to keep on eye every 15 minutes to avoid burning. This is how to make an easy vanilla butter cake recipe without milk. Serve and enjoy this Sri Lankan style simple vanilla butter cake.",1045.5,10.9,119.4,51.1,206.4
136,Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,"Grate the coconuts. I used five whole coconuts for this recipe. Extract the thick and thin milk from grated coconut. Besides, get ready with jaggery, toasted white rice flour, crushed roasted mung bean, and sago. Take a large cooking pot and add jaggery, toasted white rice flour, and thin coconut milk. Mix them well. Now switch on the flame and stir frequently. Stir and cook under a very high flame until it turns to cake batter consistency. For me, it takes about an hour. Add ¾ of thick coconut milk and stir under the very high flame until it again turns to cake batter consistency. For me, it takes about 30 minutes. Now add rest of the thick coconut milk and crushed roasted mung bean. Stir and cook under the high flame until the batter turns to a bit thick and produces oil around the batter. For me, it takes about 20 minutes. Now, add the sago and cook under medium flame for 5 minutes. Stir frequently. Using a spoon, take off the excess of oil. Then pour the thick oily dodol batter in a flat tray and spread it evenly. Once it comes to the room temperature cut into pieces. This is how to make the best Sri Lankan dodol recipe without sugar. Serve and enjoy this Sri Lankan coconut and jaggery sweet.",444.5,17.3,82.9,5.5,65.3
